Name,Legendary
Grookey,False
Thwackey,False
Rillaboom,False
Scorbunny,False
Raboot,False
Cinderace,False
Sobble,False
Drizzile,False
Inteleon,False
Skwovet,False
Greedent,False
Rookidee,False
Corvisquire,False
Corviknight,False
Blipbug,False
Dottler,False
Orbeetle,False
Nickit,False
Thievul,False
Gossifleur,False
Eldegoss,False
Wooloo,False
Dubwool,False
Chewtle,False
Drednaw,False
Yamper,False
Boltund,False
Rolycoly,False
Carkol,False
Coalossal,False
Applin,False
Flapple,False
Appletun,False
Silicobra,False
Sandaconda,False
Cramorant,False
Arrokuda,False
Barraskewda,False
Toxel,False
Toxtricity,False
Sizzlipede,False
Centiskorch,False
Clobbopus,False
Grapploct,False
Sinistea,False
Polteageist,False
Hatenna,False
Hattrem,False
Hatterene,False
Impidimp,False
Morgrem,False
Grimmsnarl,False
Obstagoon,False
Perrserker,False
Cursola,False
Sirfetch'd,False
Mr. Rime,False
Runerigus,False
Milcery,False
Alcremie,False
Falinks,False
Pincurchin,False
Snom,False
Frosmoth,False
Stonjourner,False
Eiscue,False
IndeedeeMale,False
IndeedeeFemale,False
Morpeko,False
Cufant,False
Copperajah,False
Dracozolt,False
Arctozolt,False
Dracovish,False
Arctovish,False
Duraludon,False
Dreepy,False
Drakloak,False
Dragapult,False
Zacian,True
Zamazenta,True
Eternatus,True
Kubfu,True
UrshifuSingle Strike Style,True
UrshifuRapid Strike Style,True
Zarude,True
